ID,text,src
174475,"Наблюдал веселую картину: сотрудник сто чуть не подрался с сотрудником торгового зала))) Веселые ребята... \n
",geo
86578,"После просмотра данного анимэ, странное чувство осталось: чего-то не хватило, наверно больше эмоций и более захватывающего сюжета. Главные герои по своему интересны. Но те кто любит более захватывающие сериальчики и фильмы наврятли подойдет данное анимэ. Оно больше о повседневности. Крафт Лоуренс ну оооочень сдержан, а хотелось бы чуть больше эмоций, чуть больше настойчивости. Да, были ситуации, когда он был бурный на эмоции, но это больше эмоции отчаяния. Холо очень интересный персонаж, периодически выводит Крафта, это забавно очень.",anime
231392,"платье велико !





Виталий.

e-mail:zvp2012@yandex.ru",ru-reviews-classification
7802,"качество отвратительное, колючая. нет ни переда, ни зада. сидит неудобно. единственный плюс это быстрая доставка",rureviews
278930,Достоинства: Густая и очень вкусная Моя любимая сметана,perekrestok
175969,"Сегодня звонила узнать про вишню декоративную, тот же ,как я понимаю из предыдущих отзывов «сонный» голос сообщил мне, что приезжать не нужно и выбрать растение за 7000 Р я не смогу, что привезут, то привезут. Нет обратной связи-это просто ПЕРЕКУПЩИК
",geo
122536,"Лично моя оценка это 5. Потому что вся история средняя. Ну это на мой взгляд. Вначале я вообще не оценила, но после поняла, что здесь можно узнать целых 13 рецептов алкогольных и не алкогольных коктелей. Такой сюжет лично для меня в новинку, может там все-таки идет реклама какой-то продукции, а нам  не показывают?! Но так же мне нравится, что нам рассказали так же и историю главных героев.Лично меня Чисато немного бесила, вот это ее детское поведение, когда она пьет алкоголь, бесит. Но в целом как гг норм. А вот Сора милаха.Рисовка наверно больше подходит для чибиков, мне такое не нравится. Поэтому в конечном итоге моя оценка 5.",anime
209162,"Богиня... как я полюбила.

Включив это кино, я ожидала увидеть что-то светлое, легкое, женское. Но мои ожидания совсем не оправдались, и честно, я рада этому.

Сначала я пыталась думать, искать мотивы, анализировать и сравнивать. Но этого делать не нужно! Нужно просто смотреть. Наслаждаться и погружаться в это с головой. Это захватывает тебя, и ты сам не замечаешь как становишься частью этого. Не просто наблюдателем. 

Это кино, не вызывает слез или мурашек по коже. Оно стоит особняком. 

Нет определенного пространства, но очень четко разграничено время. Нет деталей, предысторий, нет прошлого. Есть только настоящее, и оно скоро закончится.

Кино атмосферно до безумия. Каждая секунда - это великолепная картинка. Мне даже вспомнился фильм 'Нирвана' реж. Волошина. Что-то сроднимое. Темное. Но Богиня чувственней.

Конец... А ведь он поразил! Я давно уже не видела хорошего и сильного конца. Обычно ведь делается упор на начале, дабы привлечь зрителя и сказать: 'Смотри, а это ведь будет интересно!' Тут все иначе. Здесь не нужно никого привлекать.

Но конец... Он получился.

Отношение к фильму очень странное. Нет однозначности и тяжело сказать понравилось ли. Конечно прекрасные кадры, планы и атмосферу испортить тяжело. Но это делают диалоги. Лучше бы их не было вообще! К сожалению, сценарий подкачал (как кстати и в 'Нирване'). Присутствует ощущение неестественности. 

Смотрите это кино, и я уверена, с каждым новым просмотром вы откроете что-то новое и удивительное для себя.",kinopoisk
244087,Не пользовались,perekrestok
125520,"Гостиница ну ровно на 3 звезды, точно как в названии. Отличное расположение, исторические интерьеры мест общего пользования, потрясающая чугунная лестница совсем не сочеталось с безликим полулюксом на обычном ключе, с отжившим свое матрасом, из которого уже торчат пружины. Открывая окна на ночь,  не обратил внимание на отсутствие москитных сеток и в первую ночь комары здорово порезвились. Вторую ночь спал с закрытыми окнами и было очень некомфортно. Звукоизоляция номеров стремится к нулю, все что происходит в коридоре - прекрасно слышно, полное впечатление, что входной двери просто нет. В целом твердая троечка, не более. На завтрак не ходил, сказать нечего.
",geo
20244,"Заказала 21.06, пришло 21.07. Упаковка обычная, целая.  Клеится хорошо, только торчит везде. Снизу торчит, по бокам торчит. Нихрена не утягивает. Специально брала размер А, чтобы не торчала нигде. Но все равно топорщится. Может просто у меня маленькие сиськи и там нечего утягивать. Может как то не правильно клею. Но, короче, это самая бесполезная вещь в моем гардеробе. Это только на большие сиськи. Если у вас 1 размер и меньше-не берите. Хрень.",rureviews
187716,"Персонал. Зашла сегодня в магазин в 21:20  тобишь перед закрытием и трём сотрудникам было тяжело оторвать свою 5 точку от стула и спуститься со мной вниз для покупки товара. Одна мадам на кассе посоветовала мне искать товары на сайте и покупать с доставкой. Я дико извиняюсь, если вся жизнь теперь через интернет, то с какого фига Вы там сидите и получаете за это зп ? Три сотрудника повторюсь сидели без работы и лясы точили. В первые зашла к Вам за покупкой потому что ближе к дому и видимо в последний раз. Уж лучше я поеду к вашим конкурентам чем меня будут учить как и что заказывать Ваши недосотрудники. 
",geo
175328,"Не вкусно, не приветливый персонал, полная антисанитария. Берите лучше еду с собой!
",geo
5297,"как   писали ранее, не совпадает рисунок, вернее- расположение цветков. Они почти до низа. И немного растянутая ткань. Доставка быстрая",rureviews
186305,"Грязный салон, подстригли ужасно, после предыдущего клиента просто феном убрали волосы с кресла, ничего не обработали. 
",geo
149147,"В организации работают настоящие профессионалы по регистрации медицинских изделий! Все отлично! Консалтинг на профессиональном уровне!!! Рекомендую обращаться всем кто связан с регистрацией медицинских изделий.
",geo
33594,пришли быстро. взяла на размер меньше и не прогодала)))качество хорошее. запаха нет,rureviews
39695,"Носочки пришли, все как на фото, заказом довольна, на 39 размер подошли",rureviews
56502,"Жилетка не такая пушистая, как на картинке. Хотя феном можно распушить и будет не плохо. Маломерит, я брала на размер больше подошло идеально. Если собираетесь носить сверху на что-нибудь берите больше. Для высоких: жилетка чуть прикрывает пятую точку. А так дошла быстро, продавец хорошо упаковал и положил подарок, что не может не радовать.",rureviews
27497,"очень маленькие шорты!!! носить невозможно!
шорты 42 размера .футболка-46/48. синтетика",rureviews
129094,"Всё хорошо, но руки помыть негде
",geo
136410,"Одно из тех мест в которое нашей семье не хочется возвращаться второй раз. Не понравилась кухня: 1) Цена не соответствует качеству. 2) Слишком большое меню, в котором даже официант не ориентировался. 3) долгая подача при не полной загрузке заведения. Из плюсов: детская комната.
",geo
189635,"Почему снимают денежные средства мошенники , а деньги банк не возвращает ?!
максимум , что могут это отправить в полицию , написать заявление , которое ничего не решит.
21 век , защиты карты и счета нет.",sber
